solve_id,solver,solve_time,pll,pll_time,Split,STM,STPS,ETM,ETPS
12418,Luke Garrett,5.51,M2' U M2' U2 M2' U M2',0.99,18.0%,7,7.07,7,7.07
12417,Luke Garrett,5.33,L' U' L F L' U' L U L F' L2' U L U,1.30,24.4%,14,10.77,14,10.77
12416,Luke Garrett,5.35,U' U' F R U' R' U' R U R' F' R U R' U' R' F R F' U,1.97,36.8%,20,10.15,20,10.15
12415,Luke Garrett,4.83,U R2' F' R U R U' R' F R U' R' U',1.20,24.8%,13,10.83,13,10.83
12414,Luke Garrett,5.35,M2' U M2' U M' U2 M2' U2 M' U,1.53,28.6%,10,6.54,10,6.54
12412,Max Siauw,3.94,,0.00,0.0%,0,n/a,0,n/a
12411,Patrick Ponce,4.17,,0.00,0.0%,0,n/a,0,n/a
12388,Matty Hiroto Inaba,3.44,U' U' R' U R' U' R D' R' D R' U D' R2 U' R2' D R2 U,1.17,34.0%,19,16.24,19,16.24
12387,Luke Garrett,3.49,U R U R' F' R U R' U' R' F R2 U' R' U',1.02,29.2%,15,14.71,15,14.71
12385,Andrew Feng,5.68,U R' U' R U D' R2 U R' U R U' R U' R2' D,n/a,n/a,16,n/a,16,n/a
12384,Andrew Feng,6.58,M2' U M2' U2 M2' U M2' U',n/a,n/a,8,n/a,8,n/a
12383,Andrew Feng,5.82,R U R' U R U R' F' R U R' U' R' F R2 U' R' U2 R U' R' U2,n/a,n/a,22,n/a,22,n/a
12382,Andrew Feng,5.22,U' F' U' F R2 u R' U R U' R u' R2' U2',n/a,n/a,14,n/a,14,n/a
12381,Andrew Feng,5.42,x R2' D2 R U R' D2 R U' R,n/a,n/a,9,n/a,10,n/a
12380,Luke Garrett,4.90,U2 R U R' F' R U R' U' R' F R2 U' R' U2',1.10,22.4%,15,13.64,15,13.64
12379,Luke Garrett,4.78,U' R' U' R D' U R2 U R' U R U' R U' R2' D,1.31,27.4%,16,12.21,16,12.21
12378,Luke Garrett,5.99,U' U' R' U2 R' D' R U' R' D R U R U' R' U' R,1.42,23.7%,17,11.97,17,11.97
12377,Luke Garrett,4.51,U' R2 U R' U R' U' R U' R2 U' D R' U R D' U' U',1.51,33.5%,18,11.92,18,11.92
